DATA,606/1042,606/1050,606/985
11/04/1994 00:00,12.21,14.11,
09/05/1994 00:00,12.11,11.18,
08/07/1994 00:00,11.41,10.91,
08/08/1994 00:00,,,
09/08/1994 00:00,8.61,10.46,
01/09/1994 00:00,8.21,,
10/10/1994 00:00,,8.03,
08/11/1994 00:00,8.16,8.49,
12/12/1994 00:00,8.81,9.73,
03/01/1995 00:00,,,
04/01/1995 00:00,8.68,8.39,
03/02/1995 00:00,8.61,8.56,
03/03/1995 00:00,,,
06/03/1995 00:00,8.51,8.48,
10/04/1995 00:00,8.11,6.93,
04/05/1995 00:00,7.47,7.22,
08/06/1995 00:00,6.61,5.3,
07/07/1995 00:00,6.16,4.11,
08/08/1995 00:00,4.61,2.96,
06/09/1995 00:00,4.45,1.11,
06/10/1995 00:00,4.6,,
07/11/1995 00:00,4.21,,
13/12/1995 00:00,6.01,19.11,
02/01/1996 00:00,,,9.54
10/01/1996 00:00,20.71,19.21,
29/01/1996 00:00,28.91,20.71,
31/01/1996 00:00,,,23.16
06/03/1996 00:00,23.61,,26.59
11/03/1996 00:00,,24.15,
09/04/1996 00:00,28.64,22.25,32.52
03/05/1996 00:00,29.01,22.91,32.49
07/06/1996 00:00,26.21,,32.04
05/07/1996 00:00,24.04,19.2,30.56
06/08/1996 00:00,22.52,17.92,28.58
05/09/1996 00:00,20.91,17.39,26.69
07/10/1996 00:00,19.61,,25.39
08/11/1996 00:00,19.26,16.15,24.01
05/12/1996 00:00,18.95,16.81,24.59
07/01/1997 00:00,28.71,19.01,30.88
07/02/1997 00:00,26.25,23.02,33.21
03/03/1997 00:00,,,
05/03/1997 00:00,,,
10/03/1997 00:00,24.21,,32.54
04/04/1997 00:00,23.06,21.47,
08/05/1997 00:00,22.21,,30.65
08/06/1997 00:00,22.79,20.66,29.86
10/07/1997 00:00,,,27.79
06/08/1997 00:00,20.01,,25.36
05/09/1997 00:00,18.07,,23.08
06/10/1997 00:00,17.61,,21.04
05/11/1997 00:00,17.21,16.21,21.13
09/12/1997 00:00,18.01,,22.59
08/01/1998 00:00,20.94,19.33,26.6
04/02/1998 00:00,21.21,23.54,28.74
02/03/1998 00:00,24.71,22.67,31.64
08/05/1998 00:00,20.31,20.63,30.18
05/06/1998 00:00,,19.91,
08/06/1998 00:00,20.21,,28.99
07/07/1998 00:00,20.19,17.43,24.79
11/08/1998 00:00,18.21,,22.64
01/09/1998 00:00,17.96,15.96,18.73
06/10/1998 00:00,,,
07/10/1998 00:00,17.41,15.79,19.94
06/11/1998 00:00,16.78,15.61,18.89
16/12/1998 00:00,15.71,13.91,17.09
12/01/1999 00:00,15.85,14.97,18.12
01/02/1999 00:00,15.81,14.96,18.76
03/03/1999 00:00,15.11,13.98,18.16
07/04/1999 00:00,14.46,,18.49
03/05/1999 00:00,14.41,13.91,16.91
08/06/1999 00:00,,,14.49
05/07/1999 00:00,11.96,9.28,10.44
03/08/1999 00:00,10.99,,9.5
06/09/1999 00:00,10.31,8.43,6.93
13/10/1999 00:00,10.26,9.03,7.19
06/11/1999 00:00,,,9.02
10/11/1999 00:00,10.31,7.11,
03/12/1999 00:00,,,10.69
10/12/1999 00:00,11.21,10.83,
07/01/2000 00:00,11.26,10.49,12.05
03/02/2000 00:00,11.77,11.38,
04/02/2000 00:00,,,13.01
01/03/2000 00:00,9.21,10.04,
06/03/2000 00:00,,,12.44
05/04/2000 00:00,11.11,10.96,
10/04/2000 00:00,,,12.26
08/05/2000 00:00,,,14.35
09/05/2000 00:00,13.01,14.46,
05/06/2000 00:00,,,15.29
06/06/2000 00:00,12.55,10.93,
07/07/2000 00:00,12.61,9.51,
10/07/2000 00:00,,,12.06
31/07/2000 00:00,,,
04/08/2000 00:00,,,9.57
09/08/2000 00:00,10.69,10.81,
04/09/2000 00:00,,,7.83
06/09/2000 00:00,9.96,10.09,
04/10/2000 00:00,9.52,7.85,
06/10/2000 00:00,,,6.56
06/11/2000 00:00,,,7.02
07/11/2000 00:00,9.31,8.21,
07/12/2000 00:00,,,8.92
11/12/2000 00:00,10.43,9.98,
08/01/2001 00:00,13.21,15.71,
10/01/2001 00:00,,,15.67
02/02/2001 00:00,,,19.99
06/02/2001 00:00,15.93,14.69,
05/03/2001 00:00,21.01,19.51,24.25
06/03/2001 00:00,,,
04/04/2001 00:00,18.59,16.79,27.29
05/04/2001 00:00,,,
10/05/2001 00:00,19.51,15.96,27.44
07/06/2001 00:00,18.14,14.39,
12/06/2001 00:00,,,26.99
01/07/2001 00:00,16.93,14.11,
05/07/2001 00:00,,,25.23
03/08/2001 00:00,,,23.31
09/08/2001 00:00,16.18,12.86,
11/09/2001 00:00,,,22.4
14/09/2001 00:00,15.53,12.01,
20/09/2001 00:00,15.47,13.28,
02/10/2001 00:00,15.83,14.37,
04/10/2001 00:00,,,21.99
08/11/2001 00:00,,,24.45
15/11/2001 00:00,17.21,15.41,
05/12/2001 00:00,17.06,15.01,
10/12/2001 00:00,,,25.09
09/01/2002 00:00,23.21,19.11,32.09
04/02/2002 00:00,23.05,,
07/02/2002 00:00,,,32.64
08/02/2002 00:00,,19.17,
01/03/2002 00:00,,,32.68
07/03/2002 00:00,25.36,19.51,
11/03/2002 00:00,,,
03/04/2002 00:00,23.37,19.67,
08/04/2002 00:00,,,33.09
09/05/2002 00:00,23.56,,
17/05/2002 00:00,,18.81,
24/05/2002 00:00,,,33.17
05/06/2002 00:00,,,32.3
06/06/2002 00:00,,18.04,
08/07/2002 00:00,21.31,17.24,
11/07/2002 00:00,,,30.51
05/08/2002 00:00,21.36,17.05,
14/08/2002 00:00,,,25.89
08/10/2002 00:00,17.36,17.27,28.44
11/11/2002 00:00,19.01,16.51,28.56
05/12/2002 00:00,20.8,18.51,
09/12/2002 00:00,,,30.18
03/01/2003 00:00,,,32.09
06/01/2003 00:00,23.56,20.09,
05/02/2003 00:00,24.78,20.53,33.21
06/03/2003 00:00,,,44.18
07/03/2003 00:00,26.41,20.61,
10/03/2003 00:00,,,34.15
04/04/2003 00:00,26.57,22.39,
08/04/2003 00:00,,,
10/04/2003 00:00,,,34.74
02/05/2003 00:00,,,
07/05/2003 00:00,27.71,22.61,
08/05/2003 00:00,,,35.35
05/06/2003 00:00,26.62,,
06/06/2003 00:00,,,33.24
09/06/2003 00:00,,20.89,
03/07/2003 00:00,,,32.46
09/07/2003 00:00,,20.26,
05/08/2003 00:00,22.97,18.93,31.46
03/09/2003 00:00,,18.08,30.09
03/10/2003 00:00,,,29.69
06/10/2003 00:00,21.45,18.24,
04/11/2003 00:00,21.61,18.29,
07/11/2003 00:00,,,29.53
05/12/2003 00:00,21.75,19.06,30.71
06/01/2004 00:00,,,31.51
07/01/2004 00:00,21.81,19.06,
03/02/2004 00:00,,,
04/02/2004 00:00,17.57,18.9,
06/02/2004 00:00,,,31.56
03/03/2004 00:00,,,31.98
09/03/2004 00:00,21.46,19.93,
13/04/2004 00:00,,,31.72
15/04/2004 00:00,21.91,19.87,
06/05/2004 00:00,21.03,19.7,31.19
03/06/2004 00:00,20.29,17.96,
07/06/2004 00:00,,,29.69
11/06/2004 00:00,,,
30/06/2004 00:00,,16.57,
02/07/2004 00:00,,,27.39
09/08/2004 00:00,17.71,16.26,25.63
03/09/2004 00:00,17.31,15.21,
13/09/2004 00:00,,,23.51
12/10/2004 00:00,,,21.49
15/10/2004 00:00,16.06,13.91,
11/11/2004 00:00,16.4,15.23,21.59
28/11/2004 00:00,,,22.3
01/12/2004 00:00,15.96,15.03,
03/01/2005 00:00,,,22.26
07/01/2005 00:00,16.07,14.83,
03/02/2005 00:00,15.38,14.51,21.23
04/03/2005 00:00,15.39,14.05,
08/03/2005 00:00,,,20.45
01/04/2005 00:00,,,19.92
06/04/2005 00:00,14.74,13.25,
02/05/2005 00:00,,,17.82
09/05/2005 00:00,14.03,12.07,
02/06/2005 00:00,,,15.16
13/06/2005 00:00,13.2,11.22,
07/07/2005 00:00,12.15,9.45,12.16
18/08/2005 00:00,10.83,8.93,
19/08/2005 00:00,,,4.54
08/09/2005 00:00,10.38,7.86,3.34
11/10/2005 00:00,9.83,8.21,
12/10/2005 00:00,,,0.73
09/12/2005 00:00,13.54,11.85,8.29
06/01/2006 00:00,,,11.39
09/01/2006 00:00,14.18,13.48,
03/02/2006 00:00,,,
06/02/2006 00:00,13.79,16.43,
11/02/2006 00:00,,,16.07
06/03/2006 00:00,16.91,15.15,
08/03/2006 00:00,,,19.34
04/04/2006 00:00,,,21.39
07/04/2006 00:00,17.51,15.27,
30/05/2006 00:00,16.61,12.94,
07/06/2006 00:00,,,21.37
05/07/2006 00:00,,,20.51
07/07/2006 00:00,16.03,13.31,
11/08/2006 00:00,15.19,11.65,17.31
11/09/2006 00:00,14.33,11.45,
14/09/2006 00:00,,,15.43
10/10/2006 00:00,14.11,11.39,
11/10/2006 00:00,,,13.52
08/11/2006 00:00,16.81,18.33,
09/11/2006 00:00,,,19.69
21/11/2006 00:00,16.58,,
04/12/2006 00:00,,,25.19
11/12/2006 00:00,20.46,18.29,
07/01/2007 00:00,20.15,18.49,
10/01/2007 00:00,,,27.13
12/02/2007 00:00,19.88,17.13,27.95
01/04/2007 00:00,19.79,16.84,
13/04/2007 00:00,,,28.14
07/05/2007 00:00,19.17,16.03,
11/05/2007 00:00,,,27.43
05/06/2007 00:00,18.11,15.3,
06/06/2007 00:00,,,26.14
07/08/2007 00:00,16.46,13.29,22.31
13/09/2007 00:00,,,22.18
11/10/2007 00:00,,,19.92
12/10/2007 00:00,15.33,13.31,
02/11/2007 00:00,15.01,12.61,
14/11/2007 00:00,,,18.62
10/12/2007 00:00,,,18.97
11/12/2007 00:00,14.73,13.05,
04/01/2008 00:00,,15.33,
09/01/2008 00:00,16.04,,
11/01/2008 00:00,,,21.11
01/02/2008 00:00,15.83,14.13,
04/02/2008 00:00,,,
12/02/2008 00:00,,,21.47
03/03/2008 00:00,,,22.24
07/03/2008 00:00,16.51,14.78,
09/04/2008 00:00,16.41,14.24,
10/04/2008 00:00,,,22.71
08/05/2008 00:00,18.53,15.94,
15/05/2008 00:00,,,24.39
06/06/2008 00:00,,,24.84
13/06/2008 00:00,17.86,14.81,
08/07/2008 00:00,16.69,13.94,
10/07/2008 00:00,,,23.05
14/08/2008 00:00,15.84,12.83,20.75
09/09/2008 00:00,,,18.99
12/09/2008 00:00,14.96,12.59,
06/10/2008 00:00,,,
09/10/2008 00:00,15.11,13.54,19.16
10/12/2008 00:00,14.95,13.81,
12/12/2008 00:00,,,19.49
15/01/2009 00:00,15.53,14.33,20.05
05/02/2009 00:00,18.4,17.58,
11/02/2009 00:00,,,21.85
10/03/2009 00:00,16.31,15.37,
13/03/2009 00:00,,,23.93
12/06/2009 00:00,16.18,13.98,
16/06/2009 00:00,,,21.69
06/07/2009 00:00,15.64,13.14,
14/07/2009 00:00,,,19.29
11/08/2009 00:00,13.31,11.31,16.97
11/09/2009 00:00,,,14.77
14/09/2009 00:00,13.43,10.11,
07/10/2009 00:00,,,
09/10/2009 00:00,12.91,10.61,13.35
09/11/2009 00:00,12.61,10.63,
12/11/2009 00:00,,,
13/11/2009 00:00,,,12.62
10/12/2009 00:00,12.56,10.43,13.01
12/01/2010 00:00,24.87,20.58,
15/01/2010 00:00,,,24.31
02/02/2010 00:00,22.23,17.59,
05/02/2010 00:00,,,
17/02/2010 00:00,,,30.16
02/03/2010 00:00,29.77,23.95,
10/03/2010 00:00,,,34.94
07/04/2010 00:00,28.29,21.81,
09/04/2010 00:00,,,35.49
07/05/2010 00:00,28.29,23.01,35.59
28/05/2010 00:00,,,35.14
01/06/2010 00:00,27.5,22.07,
09/07/2010 00:00,26.01,21.49,33.83
06/08/2010 00:00,24.49,20.26,32.49
02/09/2010 00:00,,,
03/09/2010 00:00,23.21,18.23,31.41
30/09/2010 00:00,,,30.51
01/10/2010 00:00,22.34,18.73,
04/11/2010 00:00,,,30.22
22/11/2010 00:00,16.58,19.41,
07/12/2010 00:00,21.99,20.58,30.53
05/01/2011 00:00,,,32.21
12/01/2011 00:00,24.49,19.38,
07/02/2011 00:00,,,32.84
09/02/2011 00:00,24.68,21.73,
09/03/2011 00:00,,,
10/03/2011 00:00,25.51,22.65,
11/03/2011 00:00,,,33.77
08/04/2011 00:00,,,34.89
15/04/2011 00:00,27.35,23.31,
06/05/2011 00:00,27.21,23.61,
11/05/2011 00:00,,,34.53
14/05/2011 00:00,18.48,18.31,
03/06/2011 00:00,,,34.53
24/06/2011 00:00,26.16,22.79,
14/07/2011 00:00,25.08,22.36,
15/07/2011 00:00,,,32.54
16/08/2011 00:00,,,31.17
17/08/2011 00:00,23.63,20.68,
08/09/2011 00:00,22.85,20.21,30.07
09/11/2011 00:00,,,28.87
24/11/2011 00:00,21.98,22.75,
01/02/2012 00:00,20.69,19.68,28.95
09/03/2012 00:00,19.61,18.94,
19/03/2012 00:00,,,27.36
13/04/2012 00:00,19.07,18.76,
20/04/2012 00:00,,,26.89
11/05/2012 00:00,,,26.44
13/06/2012 00:00,17.46,17.31,
14/06/2012 00:00,,,24.13
03/07/2012 00:00,16.93,16.98,
06/07/2012 00:00,,,21.99
02/08/2012 00:00,,,20.15
03/08/2012 00:00,16.01,,
06/08/2012 00:00,,15.01,
04/09/2012 00:00,14.49,,
13/09/2012 00:00,,,16.84
21/09/2012 00:00,,12.58,
17/10/2012 00:00,,,14.93
18/10/2012 00:00,14.28,12.63,
09/11/2012 00:00,,,18.56
16/11/2012 00:00,,,
22/11/2012 00:00,18.16,19.13,
21/12/2012 00:00,17.95,17.21,22.11
25/01/2013 00:00,18.39,18.03,23.11
28/02/2013 00:00,18.36,17.71,23.88
28/03/2013 00:00,21.93,20.64,
03/04/2013 00:00,,,26.47
04/04/2013 00:00,,,
10/05/2013 00:00,22.68,19.37,
28/06/2013 00:00,,,27.27
